Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,Bellperson,554010010-Bell Servi,002050-Bell Desk
Canadian Niagara Hotels Inc,Bellperson,530210010-Bell Ser SAL,002050-Bell Desk
Canadian Niagara Hotels Inc,Concierge,540110010-Concierge,002050-Bell Desk
Canadian Niagara Hotels Inc,Valet Attendant,556010010-Valet Park,002050-Bell Desk
Canadian Niagara Hotels Inc,Front Office Mgr,530010010-Ft Dsk Sal,002051-Front Desk
Canadian Niagara Hotels Inc,Guest Serv Sup,530010010-Ft Dsk Sal,002051-Front Desk
Canadian Niagara Hotels Inc,Guest Service Agent,540210010-F_O Wage,002051-Front Desk
Canadian Niagara Hotels Inc,Lobby Ambassador,540410010-Elevator Op,002051-Front Desk
Canadian Niagara Hotels Inc,Night Auditor,540310010-N_Audit Wa,002051-Front Desk
Canadian Niagara Hotels Inc,Director of HSKP,530110010-H_Keep Sal,002052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson,550210010-Housemen,002052-Housekeeping
Canadian Niagara Hotels Inc,Hskp Manager,530110010-H_Keep Sal,002052-Housekeeping
Canadian Niagara Hotels Inc,Hskp Supervisor,541410010-Spvr-Hr-Hs,002052-Housekeeping
Canadian Niagara Hotels Inc,Rm Att Lead Hand,541410010-Spvr-Hr-Hs,002052-Housekeeping
Canadian Niagara Hotels Inc,Room Att I,550110010-Rm Attds,002052-Housekeeping
Canadian Niagara Hotels Inc,Room Att II,550110010-Rm Attds,002052-Housekeeping
Canadian Niagara Hotels Inc,Spa Co-ordinator,540010012-Hr No Un W,002053-Spa
Canadian Niagara Hotels Inc,Spa Director,530010012-Spa Director,002053-Spa
Canadian Niagara Hotels Inc,Director of Eng,530510083-Maint Sal,002078-Maintenance
Canadian Niagara Hotels Inc,Engineering Mgr,530510083-Maint Sal,002078-Maintenance
Canadian Niagara Hotels Inc,Maint Mech Sr,553110083-Maint Wage,002078-Maintenance
